taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
3584190	Carex emmonsii var. muhlenbergii (A.Gray ex Torrey) Rettig	7227070	Carex albicans var. albicans	1	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Carex	2721893	Carex albicans	2725452	
4108416	Calamagrostis inexpansa A.Gray	4108416	Calamagrostis inexpansa A.Gray	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Calamagrostis	2704858	Calamagrostis inexpansa	4108416	LC
4292563	Stictoleptura canadensis (Olivier, 1795)	4292563	Stictoleptura canadensis (Olivier, 1795)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Cerambycidae	5602	Stictoleptura	1153592	Stictoleptura canadensis	4292563	NE
4429351	Hemicrepidius Germar, 1839	4429351	Hemicrepidius Germar, 1839	4	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Elateridae	7825	Hemicrepidius	4429351			
5243297	Tulostoma mammosum P.Micheli ex Fr.	5243296	Tulostoma brumale Pers.	1	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Agaricaceae	4170	Tulostoma	2536197	Tulostoma brumale	5243296	NE
5261316	Biatora turgidula (Fr.) Nyl.	2608209	Lecidea turgidula Fr.	1	SPECIES	SYNONYM	Fungi	5	Ascomycota	95	Lecanoromycetes	180	Lecideales	10848190	Lecideaceae	8296	Lecidea	2569865	Lecidea turgidula	2608209	NE
5283543	Hageniella micans B.C.Tan & Jia Yu, 1999	5283543	Hageniella micans B.C.Tan & Jia Yu, 1999	1	SPECIES	ACCEPTED	Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Sematophyllaceae	4656	Hageniella	2680816	Hageniella micans	5283543	NE
5341300	Galeopsis tetrahit L.	5341300	Galeopsis tetrahit L.	33	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497	Galeopsis	8423109	Galeopsis tetrahit	5341300	NE
5503640	Ramularia oxalidis Farl., 1884	5503640	Ramularia oxalidis Farl., 1884	2	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Dothideomycetes	183	Capnodiales	1262	Mycosphaerellaceae	4797	Ramularia	2513169	Ramularia oxalidis	5503640	NE
5605434	Monarda fistulosa var. mollis (L.) Benth.	7750598	Monarda fistulosa var. mollis (L.) L.	22	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497	Monarda	2926838	Monarda fistulosa	5341411	
